2016-09-14 11:38:45,426 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39178
2016-09-14 11:38:45,443 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39180
2016-09-14 11:38:45,459 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39182
2016-09-14 11:38:45,476 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39184
2016-09-14 11:38:45,495 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39185
2016-09-14 11:38:45,511 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39187
2016-09-14 11:38:45,526 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39189
2016-09-14 11:38:45,544 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39191
2016-09-14 11:38:45,561 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39193
2016-09-14 11:38:45,576 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39195
2016-09-14 11:38:45,594 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39196
2016-09-14 11:38:45,610 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39198
2016-09-14 11:38:45,627 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39199
2016-09-14 11:38:45,645 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39201
2016-09-14 11:38:45,661 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39202
2016-09-14 11:38:45,676 | INFO  | Transport failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39204
2016-09-14 12:06:22,629 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6be625d: startup date [Wed Sep 14 12:06:22 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2016-09-14 12:06:25,264 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | WrapperSimpleAppMain
2016-09-14 12:06:25,269 | INFO  | PListStore:..\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | WrapperSimpleAppMain
2016-09-14 12:06:25,362 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\workspace\apache-activemq-5.5.0\bin\win32\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-14 12:06:26,151 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-09-14 12:06:26,414 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-09-14 12:06:26,415 | INFO  | Recovery replayed 2 operations from the journal in 0.233 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2016-09-14 12:06:26,436 | INFO  | ActiveMQ 5.5.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-14 12:06:26,436 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-14 12:06:27,286 | INFO  | Listening for connections at: tcp://0.0.0.0:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2016-09-14 12:06:27,287 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-09-14 12:06:27,313 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:¶­Ñ©·å-PC-40542-1473825986455-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2016-09-14 12:06:27,440 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | WrapperSimpleAppMain
2016-09-14 12:06:28,340 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2016-09-14 12:06:28,765 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2016-09-14 12:06:29,589 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | WrapperSimpleAppMain
2016-09-14 12:06:30,364 | INFO  | Initializing Spring root WebApplicationContext | /camel | WrapperSimpleAppMain
2016-09-14 12:06:30,572 | INFO  | OSGi environment not detected. | org.apache.camel.spring.handler.CamelNamespaceHandler | WrapperSimpleAppMain
2016-09-14 12:06:32,331 | INFO  | Apache Camel 2.7.0 (CamelContext: camel) is starting | org.apache.camel.spring.SpringCamelContext | WrapperSimpleAppMain
2016-09-14 12:06:32,331 | INFO  | JMX enabled. Using ManagedManagementStrategy. | org.apache.camel.spring.SpringCamelContext | WrapperSimpleAppMain
2016-09-14 12:06:33,146 | INFO  | Found 5 packages with 16 @Converter classes to load | org.apache.camel.impl.converter.AnnotationTypeConverterLoader | WrapperSimpleAppMain
2016-09-14 12:06:33,168 | INFO  | Loaded 152 type converters in 0.536 seconds | org.apache.camel.impl.converter.DefaultTypeConverter | WrapperSimpleAppMain
2016-09-14 12:06:33,796 | INFO  | Connector vm://localhost Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2016-09-14 12:06:33,892 | INFO  | Route: route1 started and consuming from: Endpoint[activemq://example.A] | org.apache.camel.spring.SpringCamelContext | WrapperSimpleAppMain
2016-09-14 12:06:33,900 | INFO  | Total 1 routes, of which 1 is started. | org.apache.camel.spring.SpringCamelContext | WrapperSimpleAppMain
2016-09-14 12:06:33,901 | INFO  | Apache Camel 2.7.0 (CamelContext: camel) started in 1.570 seconds | org.apache.camel.spring.SpringCamelContext | WrapperSimpleAppMain
2016-09-14 12:06:36,027 | INFO  | Camel Console at http://0.0.0.0:8161/camel | org.eclipse.jetty.util.log | WrapperSimpleAppMain
2016-09-14 12:06:36,123 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | WrapperSimpleAppMain
2016-09-14 12:06:36,176 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | WrapperSimpleAppMain
2016-09-14 12:06:36,523 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | WrapperSimpleAppMain
2016-09-14 12:06:53,370 | INFO  | Transport failed: java.net.SocketException: Software caused connection abort: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40556
2016-09-14 12:06:53,370 | INFO  | Transport failed: java.net.SocketException: Software caused connection abort: socket write error | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
